F_st,S_st
1.4224762648,99.6986815726
1.4620179875,99.6944405665
1.4740145084,99.6904096396
1.4814912934,99.6890118087
1.4840385227,99.6820570526
1.5478265016,99.6761479172
1.5668216709,99.6732985291
1.6139847714,99.6650939134
1.6273076381,99.6606474599
1.6390530566,99.6577156578
1.6701684879,99.6437278256
1.6720205518,99.6432967533
1.7558484887,99.6390479997
1.7603369434,99.6352002355
1.8375356669,99.6088037254
1.8431446655,99.60617331
1.9272779218,99.6013730921
2.2134990127,99.5370655351
2.3270353433,99.5133813586
2.3882654678,99.5011085526
2.5347679678,99.4735936311
2.5607616717,99.4676538721
2.5611953309,99.4616302198
2.6697341782,99.4408010853
2.7475859957,99.4231657567
2.7503071196,99.4193369541
2.7881543175,99.4178042018
2.8238656413,99.4117830746
2.8548067528,99.406502981
2.871051212,99.4020897028
2.8782544974,99.3879005726
2.9849908836,99.3733486604
2.9888896677,99.3724633195
3.065873588,99.34128479
3.0788165784,99.341210593
3.1097503086,99.3381864637
3.1610900029,99.3227961949
3.2082118601,99.3136893475
3.2115383618,99.3031047005
3.333085341,99.2804438722
3.3774768772,99.2736533072
3.391238402,99.2582033144
3.4438190778,99.2573164454
3.4999552805,99.2303399095
3.6092443504,99.2111329693
3.688026732,99.1906782493
3.7237403156,99.1724724727
3.7463302072,99.1662211191
3.7618888262,99.1653123108
3.8972562445,99.138027187
3.8975630181,99.1263621329
4.0223868251,99.1090984116
4.0906746377,99.074689308
4.2372501324,99.0270502127
4.2408959792,99.0201680711
4.4301077068,98.9979759509
4.462262755,98.9875618331
4.7011308315,98.918544928
4.7196458866,98.8946272985
4.7411422392,98.8756426196
5.0233159734,98.8151807044
5.0873967782,98.804515772
5.1533027734,98.7767820759
5.2508776083,98.7379464966
5.2529107449,98.7336418752
5.3023356054,98.7161575747
5.350547549,98.7086780454
5.3967147066,98.6997715869
5.6012012653,98.6393060881
5.6225388553,98.620639398
5.7092798284,98.6075394875
5.7635230614,98.5867307504
5.7884466809,98.5669167397
5.8130334191,98.5569137289
5.8601108706,98.5556876242
5.8779672585,98.5439792546
5.9255333876,98.5219148766
5.9334118006,98.5121355267
5.9337045778,98.510757659
