F_st,S_st
1.0759339806,99.7620968509
1.0935912887,99.7594959934
1.1326079129,99.7555188067
1.1510859296,99.7514710975
1.1862155863,99.7401006271
1.1992110237,99.7378282146
1.2361096648,99.7300911387
1.2771713944,99.7220014692
1.3793152873,99.7055239071
1.4089112707,99.6980263878
1.442475399,99.6918747305
1.4488637463,99.6873154252
1.4503810601,99.6869127016
1.4772449483,99.680144889
1.5140210905,99.6793807479
1.5538278393,99.6666169678
1.5561224113,99.6637876436
1.5781421969,99.6619130016
1.5878224853,99.6598919188
1.6039692064,99.6567694427
1.6134443822,99.6549812533
1.6169424215,99.6535183469
1.6482817418,99.648228888
1.66048402,99.6463764119
1.6950206769,99.6390826292
1.7344508066,99.6324105597
1.7365853139,99.6315688807
1.7487209928,99.630044924
1.7535220627,99.6292677967
1.7646166274,99.625672459
1.7702684838,99.62376517
1.8318974704,99.6127827488
1.8415968507,99.6088999982
1.8425654022,99.6063994295
1.9826965098,99.5804675083
2.0077071906,99.5758611893
2.0466998559,99.5648351413
2.1252492648,99.5474120156
2.4248337854,99.4830808012
2.5297280204,99.4611984005
2.6056215089,99.4499010013
2.7013838382,99.4284967337
2.7704302966,99.4128452708
2.7980467613,99.4080229492
2.842262074,99.4028222294
2.8651211466,99.3884069475
2.8782333245,99.3792855678
2.9812545491,99.3659410921
3.0333417672,99.3475445232
3.125022973,99.3229475371
3.1387368328,99.3179743676
3.2809054341,99.2837593649
3.2836795959,99.279335373
3.3049497513,99.275115205
3.3099889237,99.2720932207
3.3709307827,99.2640234459
3.4123179028,99.2607833598
3.4180116674,99.2600848645
3.4308578698,99.244938336
3.5402523989,99.217203807
3.5615681902,99.2091557085
3.6216516778,99.2041087655
3.7363812197,99.1682265561
3.7770356538,99.1581430435
3.8648267962,99.1279328561
3.8931188004,99.1163259059
3.8964998879,99.1124065491
3.9454979909,99.1078901331
3.9737458274,99.1053778023
3.9770891719,99.0895817392
4.1114711221,99.0662913282
4.3092614477,99.0102020074
4.45681769,98.9468964382
4.4946912644,98.9401143686
4.4982110335,98.9357615021
4.5047110082,98.9319661355
4.5182632008,98.9192565669
4.7163018613,98.8621398709
4.7923527785,98.8458633339
4.8384004951,98.8351779604
4.967499409,98.7914132048
4.9928396316,98.7779627473
5.0471141143,98.7648778741
5.3505094897,98.6695908844
5.3586745198,98.6528259472
5.4279016144,98.6345957247
5.4457269745,98.6328603174
5.4545719705,98.6209514183
5.4906543154,98.613611781
5.6101724683,98.5627119514
5.6941418463,98.5442331817
5.7318598912,98.5310605239
5.9094168641,98.4957792578
6.0571168018,98.4023009496
6.0592764557,98.3928772449
6.0861386901,98.3880307652
6.1877717152,98.3497516059
6.6203870403,98.2231139818
6.7328217005,98.169673621
6.793315879,98.123264203
7.4411666378,97.9036373212
7.5319121615,97.8849538092
7.6862251083,97.8480073621
7.7618615535,97.7940928439
7.8785276238,97.7457667365
7.9566347395,97.7076654557
8.339226553,97.5526199929
8.8104762576,97.3923161268
8.9173176206,97.3331631802
8.969075377,97.2876036925
9.0606263398,97.2871830732
9.2289486145,97.1761723173
9.4430305132,97.0590174436
9.4569986499,97.0540690561
9.5679688726,97.0041032013
9.7346109042,96.9371906908
9.9274508088,96.9069498456
10.0390974517,96.8478867861
10.1282043515,96.7771353486
10.229272734,96.7274319433
10.531926996,96.5779230455
10.7914938825,96.5389190654
10.8955767073,96.3847228111
10.9770071887,96.3164194789
10.9838759252,96.2648391752
11.349493663,96.1950355425
11.5784224814,96.111422105
11.6730716899,96.0246816234
12.2006755779,95.8150041723
12.2532588804,95.7311371037
12.3344967558,95.7271731384
12.5140488489,95.6514107343
12.9723178312,95.3920093702
13.0737447768,95.3662275326
13.1076231167,95.2843352165
13.2161252103,95.2083136574
13.2996241556,95.0584016536
13.5309753794,95.0569787364
14.0422128,94.7493430238
14.0566260337,94.6860207151
14.0769183572,94.6778055548
14.2927350517,94.4871096171
14.8891026035,94.2510468901
14.9850312231,94.174850269
15.0152759532,94.1597343705
15.1126746144,94.0523917969
15.2310374711,94.0445689478
15.4760383308,93.8901754836
15.6441602023,93.7018111851
15.7885641048,93.6312900329
15.8134706805,93.6017357279
15.985522108,93.5054696848
16.1741708883,93.3377881376
16.3600295475,93.2192207446
16.5272541204,92.9726795931
16.7180931384,92.8674484203
16.8759372723,92.8541387127
17.4182554384,92.309018012
17.5167572629,92.1907039324
17.5563360325,92.1361946199
17.7568451009,92.0338077554
17.7927286055,91.966334361
17.8537243912,91.934711846
17.9688212811,91.8372523081
18.2276144106,91.5920524044
18.5878028382,91.189133814
18.746554962,91.0684883446
18.9477241522,90.9597738817
18.9912648731,90.8018322952
19.097098806,90.7443801952
19.24155053,90.5809184224
19.3241994176,90.485693195
19.6780055136,90.0182397294
19.7606012965,89.7981762773
19.7837777387,89.7729104372
19.9864177593,89.7173844114
20.0500808482,89.5629054852
20.1124457763,89.4945530948
20.1221555755,89.4427260548
20.6483468965,88.7759578142
20.8127714668,88.5375636381
20.8355043895,88.4702828773
21.1499264335,87.9950623499
21.1732440336,87.8535411862
21.2614083086,87.803235723
21.504360608,87.4744915796
21.6273110797,87.1506857659
21.6795953298,87.0469773708
22.0613842124,86.468453597
22.098651953,86.1575365833
22.1142541997,86.157200681
22.2558913613,85.9864723305
22.3037133496,85.7123046808
22.557664561,85.3245122905
22.6793682909,84.7806987042
22.8097959391,84.4555953903
22.8724918547,84.4397768989
22.8796003756,84.3898756701
22.9273685354,84.1336019992
22.9710515973,83.8943281891
22.9915654324,83.8502533453
23.0942893602,83.7230778227
23.1385710861,83.4807066813
23.1424472102,83.4239851945
23.2204624331,83.0388475149
23.2277703567,83.0141405739
23.271716576,82.98260935
23.421982769,82.3827564086
23.5186322803,82.0375868963
23.532255111,81.8527204836
23.5360149169,81.8310937804
23.5443812955,81.7905640779
23.5550406719,81.6216279253
23.5613686006,81.4869961364
23.6709004675,81.0738612714
23.6805111789,80.9722284197
23.7396908469,80.7487902808
23.7655398202,80.6421038494
23.7773614885,80.2101297909
23.8553619016,80.064002003
23.8698497959,79.7248137747
23.8806253785,79.6371945335
23.8840698491,79.6065532116
23.8862276138,79.5798567269
1.001729814,99.7800598463
1.0272986516,99.775497465
1.032920704,99.7733596442
1.0478249658,99.7685958552
1.0487501745,99.7680887039
1.0673221035,99.7667480195
1.0716985567,99.7645033422
1.0840873803,99.7607046708
1.0888216885,99.760012123
1.1390937529,99.7535496812
1.1482329809,99.7518023189
1.1577412035,99.7463876132
1.1716916268,99.746249439
1.210880466,99.7374297452
1.2339338959,99.7326605495
1.233968288,99.7312636504
1.2558436273,99.7296350628
1.2646083703,99.7272501466
1.2712659708,99.7247765067
1.2761004937,99.7229089302
1.3163141802,99.7178745887
1.3223737632,99.7143865394
1.3391021044,99.7131775227
1.3434700861,99.7127243367
1.351826051,99.7108882173
1.3567095216,99.7085249295
1.3606353935,99.7079885562
1.3628911194,99.7066653248
1.3977325254,99.702537253
1.4082779547,99.6992375202
1.4307093144,99.6972239863
1.4393880937,99.6930031873
1.4581587631,99.6861049189
1.4741589396,99.6856337159
1.5222174754,99.6759070504
1.5366870445,99.6751595225
1.5433997301,99.6725258503
1.5459970899,99.6685338233
1.5555206045,99.6654993708
1.5701217692,99.662864967
1.5756491461,99.6628177648
1.6020937674,99.6585552578
1.6073850027,99.6567253598
1.643165231,99.6490870431
1.6895285153,99.6446090305
1.7307786008,99.6353681488
1.7445001271,99.6302316972
1.761819397,99.6276433799
1.7993894782,99.6204326576
1.8158488454,99.617707381
1.8677680318,99.6042943695
1.8688160847,99.5984860245
1.8929791919,99.5982952397
1.9400514575,99.5958717715
1.9453106568,99.5886617837
1.9540879782,99.5849166527
1.9720383585,99.5839913286
1.9827891661,99.5783106835
2.0001900035,99.5766900665
2.0401751215,99.5744315824
2.0432543884,99.5705390239
2.0504237539,99.5620172374
2.0569356451,99.561079466
2.063192544,99.5608650583
2.0659923094,99.5605547383
2.1038128907,99.5579463211
2.1044881115,99.5553380657
2.1221958774,99.5515187105
2.1731379666,99.5454831585
2.1745435952,99.5394986211
2.1745460855,99.535984011
2.1787817435,99.5353858836
2.1892289763,99.5333513749
2.1947195527,99.5326218417
2.2414471267,99.5313433083
2.2557425124,99.5276908934
2.2604281935,99.525690401
2.2913071806,99.5176282187
2.3262488079,99.5116385862
2.3410929901,99.5033156735
2.3561539124,99.5031144209
2.3706865392,99.5004794361
2.414223523,99.4917050855
2.4186739507,99.4849934428
2.4579069394,99.4826504912
2.4687879705,99.4818636046
2.4926632071,99.4735814824
2.5311805446,99.46110371
2.557982253,99.460709418
2.5621656687,99.4587673216
2.5774359297,99.4574245756
2.595454927,99.4531152379
2.6548715367,99.4376824297
2.6653624485,99.4353662751
2.7376681285,99.4187404346
2.7482055047,99.4154452126
2.8037017229,99.4028573301
2.8565775264,99.3906641031
2.8761494017,99.3833729824
2.9069884813,99.3790430632
2.9371196013,99.3764219519
2.9437844443,99.3743820153
2.9480202613,99.3676111445
2.9909948799,99.3544412144
3.0102309794,99.3510920002
3.0550130902,99.3461710997
3.0924212166,99.338195998
3.1153802347,99.3265730433
3.2267914896,99.3095337313
3.2400249149,99.3041331424
3.2419722196,99.2908250419
3.2554894862,99.2874339775
3.3384640679,99.2712985887
3.3422254369,99.2696180968
3.3829268465,99.2616382655
3.4181608148,99.2471610573
3.4576721371,99.2348551616
3.4758325421,99.2325235933
3.520066464,99.2290861698
3.5768946415,99.2041193208
3.6336703975,99.1916759492
3.6537489596,99.1827915396
3.6832342723,99.1812354673
3.6853793776,99.1741995183
3.7633535498,99.1584569787
3.8036395955,99.1478822233
3.8085331326,99.1468502287
3.839280248,99.1450718537
4.0149013313,99.0875674973
4.0236997589,99.0809925155
4.0575177758,99.0806290931
4.1554857114,99.048271702
4.1851217821,99.0205152496
4.2679536805,99.019412068
4.4033964334,98.9839482632
4.4559745075,98.9733445439
4.6370268069,98.9133239593
4.7052101548,98.8826977568
4.718013797,98.8606642041
4.7239429629,98.8461864471
4.8181634505,98.8427080902
4.8346661848,98.8378488633
4.8575635088,98.8162276427
4.9282608756,98.7965958069
5.0115559376,98.7656668143
5.1339627067,98.7321086065
5.2507339929,98.7142163635
5.5454940823,98.6066704676
5.5710139227,98.5630513377
5.6563459697,98.5596292095
5.6609540949,98.5450570645
5.783727948,98.5039523319
5.9991382177,98.4430676095
6.010322288,98.4323116837
6.0402308214,98.4137875992
6.111822261,98.3705033322
6.2203585201,98.3438453073
6.2571589208,98.3398926128
6.3204988565,98.3230627719
6.3736001963,98.3196151904
6.5625307066,98.251837365
6.6314178771,98.1814016881
6.6653617608,98.1812591561
6.6843589389,98.172022302
6.7631310475,98.1678796565
6.8423576405,98.1181952039
6.9727274626,98.1034516805
6.9939683565,98.0731474255
7.1386432218,98.0428921316
7.2213446861,97.9837569004
7.2505827053,97.9831042277
7.262309813,97.9698110365
7.3346325663,97.9648655179
7.3628350772,97.9344787959
7.4585782442,97.8952093263
7.4608002156,97.8853795859
7.5861232348,97.862844834
7.6174653644,97.8513656902
7.8254358157,97.7802661523
7.8335926051,97.7529260511
7.8590395854,97.7515928006
7.9922503075,97.6970804035
7.9924536874,97.6721634646
8.112687676,97.6492770972
8.1633979267,97.6036487821
8.1667979433,97.6033892654
8.4905338239,97.5269574719
8.6089164907,97.4938617332
8.8204697522,97.3718584633
9.1381547239,97.2575056674
9.2226591733,97.241792286
9.3935332775,97.1742468676
9.4245690756,97.067462366
9.4671474302,97.0273723101
9.6923027206,96.9751741076
9.8830486053,96.9314850298
9.9470311966,96.8538740921
10.3767527993,96.7248803974
10.458558851,96.6454178969
10.5612274658,96.5669325051
10.6592569679,96.5448619201
10.8402862322,96.4730370338
10.8586071764,96.3931529712
11.1736845641,96.2518526941
11.2991500724,96.2319550534
11.4653748962,96.1243452597
11.5851450335,96.0251508261
11.7395081764,95.9934559403
11.8741048642,95.9787566548
11.9359573062,95.9557259697
11.940151363,95.8943737913
12.4028052836,95.6604317451
12.5257919145,95.5867501455
12.6189447505,95.5623748189
12.6309246301,95.5052660252
12.6711584473,95.5000053761
12.6809471075,95.4936020002
12.8405423132,95.4768887459
12.9241653457,95.4169524313
13.1364952299,95.270933608
13.1714440636,95.2424335048
13.2669350682,95.1636158882
13.2914506127,95.1335776061
13.5516769798,95.0192237753
13.6530868976,95.0177055711
13.7223732382,94.9280104658
13.8601810266,94.8798269966
13.8933647456,94.8306549209
14.0049874064,94.7614773643
14.2649798811,94.6406254484
14.4990763852,94.4834501198
14.702941796,94.436210526
15.3626419393,93.895044821
15.4794924704,93.7638820445
15.9045321162,93.5594615871
16.0831339365,93.4039559052
16.4011377624,93.0969705818
16.5117651124,93.0928192349
16.7133105482,92.9172280184
16.8846947737,92.7777297726
16.9670070512,92.740993415
17.1285503248,92.6354616342
17.2255042995,92.4261279746
17.3683255132,92.4226747399
17.4206338635,92.1996670422
17.5856955292,92.0580125604
17.7088879004,92.0392863438
17.872869925,91.8663768796
17.9621564843,91.8562307817
18.0886233318,91.7615526031
18.0913969258,91.6416569916
18.1499896867,91.5940083643
18.287383569,91.5293287123
18.4454114133,91.430370718
18.5318437882,91.3439399192
18.7406989328,91.1770142238
18.7821571655,91.0631889255
19.0274400247,90.7713139138
19.2805948198,90.5267602565
19.5268924526,90.3527759484
19.5445549174,90.248825682
19.6147178704,90.0733706373
19.6548773948,90.0588964959
19.7423901679,89.9434851401
19.899526449,89.7289305072
20.0426229477,89.578382836
20.1975520497,89.4318462646
20.2821476226,89.3509406999
20.3194651634,89.2820098194
20.3855871634,89.0554156519
20.4857095082,89.0537444126
20.6356388055,88.8562770569
20.6684441833,88.7753618948
20.748494128,88.6751678666
20.7816421462,88.6079993554
20.9078476648,88.3833645846
20.9640008257,88.3592100778
21.0011392545,88.1994888111
21.0595919631,88.1810174475
21.0986989985,88.1140602718
21.1562726082,87.8680533075
21.2150872409,87.8032363272
21.3184722901,87.7722838035
21.4282094769,87.5335457728
21.5551902188,87.3548881098
21.5961847837,87.3106414611
21.7200890139,86.9157003006
21.8356905524,86.9148206597
21.8656638573,86.7368516714
21.9793993333,86.6200997582
22.0694078572,86.3246897243
22.1852999301,86.1398738974
22.236102396,86.0424186812
22.3968157392,85.6211255236
22.4104255175,85.5455143365
22.4706299808,85.4806268556
22.4948119613,85.4338430537
22.6233635298,85.0643477876
22.6680828177,84.9714018924
22.7417257294,84.7575463871
22.7441804113,84.6546760194
22.7450688759,84.5554480379
22.9626353285,84.095023767
23.0249508281,83.8240152687
23.106578735,83.5771892934
23.1740435046,83.4213772765
23.2048107408,83.2281127535
23.2604567165,82.9881574442
23.3153038717,82.8683168092
23.3296778957,82.8361022313
23.3669461943,82.6503576426
23.380585785,82.5708681659
23.4315894721,82.2900423036
23.4813228356,82.2274849499
23.6325829091,81.4806099512
23.6599921161,81.2698333753
23.7170699717,80.9569148834
23.7662327711,80.5943510692
23.8082041592,80.1772913186
23.850619018,80.1500820745
23.8612536042,79.811055199
23.8794818082,79.7080551486
23.8973149778,79.5655770037
23.9046468893,79.410289165
23.9117717042,79.2887128979
