F_st,S_st
1.1073916603,99.7901287255
1.1223675878,99.7865717472
1.1714986882,99.7772057728
1.1946505262,99.7705250407
1.272600932,99.7576380145
1.2909411394,99.754783279
1.295607782,99.7524991341
1.317430257,99.7430145356
1.3485335386,99.7415643928
1.3809802617,99.7348769568
1.5495307998,99.7015210618
1.5514500713,99.6980466601
1.5648166282,99.6952237425
1.7088818705,99.659678944
1.7549612612,99.6501769656
1.871703125,99.6279456328
1.8739238718,99.6277355125
1.9905924666,99.5981965633
2.0650939324,99.5824645834
2.0766206378,99.5820398679
2.2906542213,99.5347259755
2.298828663,99.5332811785
2.3637317463,99.518067891
2.3687243976,99.5117742612
2.4294607903,99.5057285315
2.4929216658,99.4884574646
2.6253556451,99.46131725
2.6534100072,99.4531840749
2.7761444154,99.4245038828
2.8105049076,99.4140318271
2.8377468737,99.4118995588
2.8905922983,99.3889167801
2.9303030137,99.3875862501
3.0345973263,99.3712155383
3.0599922773,99.3645366733
3.1488793991,99.3467328598
3.2034167522,99.3358638521
3.2327149171,99.3058553043
3.2638578318,99.3028795433
3.3135467747,99.2840766212
3.341446363,99.2833081648
3.3876855137,99.2808406137
3.4572739456,99.250975038
3.6499185921,99.2109519489
3.6757881662,99.2102125073
3.7911315047,99.1666775405
3.9008179104,99.1293790493
3.9331691748,99.1241449312
4.067217556,99.0916710393
4.1698147878,99.0636004463
4.2917416055,99.0302672829
4.3322919781,99.0079982855
4.4083595189,98.9947371059
4.4352487432,98.9665028104
4.4566314787,98.9601880194
4.52286598,98.9577370744
4.6110572556,98.9198428774
4.8010734522,98.8599713565
4.8312498075,98.8570302428
4.8414348847,98.851954401
4.9663227566,98.8246261141
5.0254587769,98.8038896584
5.1571995994,98.7408564819
5.1963362829,98.7366507974
5.2370330267,98.7359443018
5.2385015346,98.7291994128
5.3646907379,98.7004212112
5.5089657837,98.6373240403
5.5385534529,98.6294029252
5.6458516769,98.5938601416
5.7280666419,98.5845373354
5.8402582092,98.5481247149
5.8410627187,98.5386597359
5.9005509342,98.5096516347
6.0250178459,98.4782026683
6.2040751227,98.404717534
6.338469337,98.3927316757
6.4073128049,98.3592174222
6.5302764509,98.3252511475
6.5444973273,98.3093638636
6.740158851,98.2523247628
6.9043642592,98.2043863566
6.958727139,98.1655141547
6.9698291577,98.1574310048
7.0095809614,98.153714679
7.2795477969,98.0653884466
7.4241272525,98.0307039211
7.4892104363,97.9920145402
7.5009672992,97.9880508882
7.519944012,97.957591744
7.5614052145,97.9331641164
7.687321488,97.9150758175
7.7614297204,97.8918677326
7.7986990707,97.8221314129
7.9848063606,97.8080315136
8.016810654,97.7879862565
8.0523803743,97.7816365539
8.2008498866,97.7248991183
8.3731573069,97.6391686949
8.4960041582,97.6174134121
8.8028884526,97.4759637001
8.8909805374,97.4634835685
8.9345893337,97.4528327092
9.0236340755,97.4313481129
9.2109638165,97.3360399574
9.4689727821,97.223696945
9.5246882157,97.1986330936
9.6787151851,97.170843737
9.7935601965,97.1137536466
9.8644695177,97.08263933
9.9646453344,97.0484408112
10.0624912795,97.003308142
10.1613964268,96.9213564418
10.3978252098,96.828208206
10.4273872482,96.8276897731
10.6153286327,96.7729059904
10.9694809904,96.6062526485
11.2303467733,96.5426182113
11.2888810701,96.452991529
11.2937673626,96.4108846058
11.5525089298,96.403750586
11.9211434881,96.1297243976
12.0746151869,96.0709290644
12.2231446983,96.0379265072
12.5310850562,95.935387191
12.5897097988,95.8147759985
12.9395995737,95.7818491971
12.9498188184,95.7772262779
13.2965828447,95.5863939936
13.9358357759,95.2571171848
13.9577875044,95.2470417363
14.036616441,95.1852532289
14.3398259093,95.0128601356
14.8162173288,94.7830654317
14.9529787345,94.6436354979
15.1902581438,94.5946227851
15.2632020681,94.5097901886
15.4219031701,94.4200637029
15.5851654604,94.3065074017
15.7986885017,94.234331125
16.0285873512,94.093246704
16.3411138986,93.9485350253
16.5759384502,93.7172263994
16.7406894343,93.6962695633
16.7487115599,93.5871556326
16.9817770823,93.557208148
17.0109087837,93.363768879
17.4941506969,93.2100991312
17.6927708386,93.0616345989
17.8092591817,92.8726751981
18.0410644157,92.8543488816
18.1982932553,92.6157190893
18.429896462,92.5802584275
18.5626860922,92.366170064
18.8255334516,92.1903171152
18.8665424656,92.1898312111
19.0731710027,91.9099427272
19.2187520255,91.8735428293
19.3873395683,91.7495691723
19.4942010808,91.6749927932
19.4958156557,91.6540575276
